celltype_HCA_fine,Organ,n_cells
Immune_MO_NonClassical,Reproductive tract,4
Immune_MO_NonClassical,Cervix,1
Immune_Mac_Cyc,Uterus,1178
Immune_Mac_Cyc,Ovary,857
Immune_Mac_Cyc,Reproductive tract,262
Immune_Mac_Cyc,Fallopian Tube,195
Immune_Mac_Cyc,Cervix,62
Immune_Mac_Cyc,Mesonephros,3
Immune_Mac_Cyc,Vagina,3
Immune_Mac_LYVE1hi,Fallopian Tube,5505
Immune_Mac_LYVE1hi,Uterus,5392
Immune_Mac_LYVE1hi,Ovary,4948
Immune_Mac_LYVE1hi,Reproductive tract,619
Immune_Mac_LYVE1hi,Vagina,219
Immune_Mac_LYVE1hi,Cervix,69
Immune_Mac_LYVE1hi,Mesonephros,31
Immune_Mac_Transitional,Uterus,921
Immune_Mac_Transitional,Ovary,685
Immune_Mac_Transitional,Fallopian Tube,116
Immune_Mac_Transitional,Cervix,29
Immune_Mac_Transitional,Reproductive tract,24
Immune_Mac_Transitional,Vagina,12
Immune_Mast,Fallopian Tube,2377
Immune_Mast,Uterus,2140
Immune_Mast,Cervix,462
Immune_Mast,Vagina,342
Immune_Mast,Ovary,94
Immune_Mast,Reproductive tract,34
Immune_MegaPlat,Ovary,109
Immune_MegaPlat,Reproductive tract,63
Immune_MegaPlat,Mesonephros,4
Immune_MegaPlat,Uterus,1
Immune_MemoryB,Uterus,3106
Immune_MemoryB,Fallopian Tube,674
Immune_MemoryB,Vagina,597
Immune_MemoryB,Cervix,122
Immune_MemoryB,Ovary,36
Immune_MemoryB,Reproductive tract,5
Immune_MemoryB,Mesonephros,2
Immune_NKT_γδT_Vδ1,Fallopian Tube,1322
Immune_NKT_γδT_Vδ1,Uterus,1274
Immune_NKT_γδT_Vδ1,Ovary,124
Immune_NKT_γδT_Vδ1,Cervix,81
Immune_NKT_γδT_Vδ1,Vagina,33
Immune_NKT_γδT_Vδ1,Reproductive tract,2
Immune_NK_CD16hi,Uterus,3519
Immune_NK_CD16hi,Fallopian Tube,1084
Immune_NK_CD16hi,Ovary,330
Immune_NK_CD16hi,Vagina,155
Immune_NK_CD16hi,Reproductive tract,50
Immune_NK_CD16hi,Cervix,37
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Uterus,353
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Fallopian Tube,106
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Cervix,8
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Vagina,8
Immune_NK_CD56dim_CD16dim_SPTSSBhi,Ovary,5
Immune_NK_Cyc,Uterus,3260
Immune_NK_Cyc,Ovary,81
Immune_NK_Cyc,Fallopian Tube,68
Immune_NK_Cyc,Cervix,67
Immune_NK_Cyc,Reproductive tract,15
Immune_NK_Cyc,Vagina,11
Immune_NK_Cyc,Mesonephros,1
Immune_NMP_Promyelocytes,Ovary,258
Immune_NMP_Promyelocytes,Reproductive tract,21
Immune_NMP_Promyelocytes,Fallopian Tube,3
Immune_NMP_Promyelocytes,Uterus,3
Immune_NMP_Promyelocytes,Cervix,1
Immune_NaiveB,Uterus,1876
Immune_NaiveB,Fallopian Tube,98
Immune_NaiveB,Vagina,58
Immune_NaiveB,Ovary,23
Immune_NaiveB,Cervix,15
Immune_NaiveB,Reproductive tract,6
Immune_Neutrophils,Fallopian Tube,16
Immune_Neutrophils,Cervix,13
Immune_Neutrophils,Ovary,9
Immune_Neutrophils,Uterus,7
Immune_Plasma_κ,Fallopian Tube,1303
Immune_Plasma_κ,Cervix,506
Immune_Plasma_κ,Uterus,301
Immune_Plasma_κ,Vagina,189
Immune_Plasma_κ,Ovary,15
Immune_Plasma_λ,Fallopian Tube,821
Immune_Plasma_λ,Cervix,633
Immune_Plasma_λ,Uterus,166
Immune_Plasma_λ,Vagina,145
Immune_Plasma_λ,Ovary,17
Immune_ProB,Ovary,150
Immune_ProB,Reproductive tract,12
Immune_ProB,Uterus,3
Immune_ProB,Fallopian Tube,2
Immune_SmallPreB,Ovary,233
Immune_SmallPreB,Reproductive tract,41
Immune_SmallPreB,Fallopian Tube,4
Immune_SmallPreB,Uterus,3
Immune_T_Cyc,Uterus,1743
Immune_T_Cyc,Fallopian Tube,304
Immune_T_Cyc,Ovary,70
Immune_T_Cyc,Cervix,49
Immune_T_Cyc,Vagina,22
Immune_T_Cyc,Mesonephros,11
Immune_T_Cyc,Reproductive tract,9
Immune_cDC1,Uterus,566
Immune_cDC1,Fallopian Tube,309
Immune_cDC1,Ovary,74
Immune_cDC1,Vagina,59
Immune_cDC1,Cervix,53
Immune_cDC1,Reproductive tract,12
Immune_cDC2,Fallopian Tube,1401
Immune_cDC2,Uterus,1302
Immune_cDC2,Ovary,546
Immune_cDC2,Vagina,75
Immune_cDC2,Reproductive tract,70
Immune_cDC2,Cervix,60
Immune_cDC2,Mesonephros,3
Immune_cDC2_CD207hi,Uterus,811
Immune_cDC2_CD207hi,Fallopian Tube,506
Immune_cDC2_CD207hi,Cervix,150
Immune_cDC2_CD207hi,Ovary,37
Immune_cDC2_CD207hi,Vagina,17
Immune_cDC2_CD207hi,Reproductive tract,11
Immune_cDC2_CD207hi,Mesonephros,1
Immune_mregDC,Uterus,1442
Immune_mregDC,Fallopian Tube,68
Immune_mregDC,Vagina,36
Immune_mregDC,Ovary,22
Immune_mregDC,Cervix,9
Immune_oLAM,Ovary,247
Immune_oLAM,Uterus,45
Immune_oLAM,Fallopian Tube,15
Immune_oLAM,Vagina,9
Immune_oLAM,Cervix,3
Immune_oLAM,Reproductive tract,2
Immune_pDC,Uterus,852
Immune_pDC,Fallopian Tube,227
Immune_pDC,Ovary,58
Immune_pDC,Vagina,48
Immune_pDC,Cervix,11
Immune_pDC,Reproductive tract,7
Immune_tolDC,Uterus,36
Immune_tolDC,Fallopian Tube,7
Immune_tolDC,Cervix,4
Immune_uMac_Inf,Uterus,22589
Immune_uMac_Inf,Fallopian Tube,189
Immune_uMac_Inf,Ovary,138
Immune_uMac_Inf,Vagina,116
Immune_uMac_Inf,Reproductive tract,23
Immune_uMac_Inf,Cervix,14
Immune_uNK1,Uterus,3520
Immune_uNK1,Cervix,18
Immune_uNK1,Fallopian Tube,5
Immune_uNK2,Uterus,11902
Immune_uNK2,Cervix,172
Immune_uNK2,Fallopian Tube,117
Immune_uNK2,Vagina,26
Immune_uNK2,Ovary,24
