celltype_HCA_fine,Developmental_stage,n_cells
Mesen_CorpusSpongiosumFib_Fetal,Fetal,10169
Mesen_EndoGlandBas,Adult,535
Mesen_EndoStromalFib_Menopause,Adult,2855
Mesen_EndoStromalFib_MenstrualEutopic,Adult,13034
Mesen_EndoStromalFib_MenstrualFluid,Adult,27092
Mesen_EndoStromalFib_Prolif,Adult,164476
Mesen_EndoStromalFib_Prolif_Cyc,Adult,32491
Mesen_EndoStromalFib_eSec,Adult,17251
Mesen_EndoStromalFib_lSec,Adult,36137
Mesen_EndoStromalFib_mSec,Adult,103861
Mesen_EndoStromalFib_nEMC,Adult,48007
Mesen_EndoStromalFib_nEMC_Cyc,Adult,12895
Mesen_EndoStromalFib_nEMC_Sec,Adult,50283
Mesen_EpoophronFib_Fetal,Fetal,13877
Mesen_FallopianFib_Fetal,Fetal,41092
Mesen_FallopianFibs,Adult,64649
Mesen_FallopianLig_Fetal,Fetal,18265
Mesen_FallopianSMCs_Fetal,Fetal,8413
Mesen_GlansFib_Fetal,Fetal,5416
Mesen_GonadalFibs_Undiff,Fetal,26055
Mesen_LabiaFib_Fetal,Fetal,1794
Mesen_LabioScrotalSwelling_Fetal,Fetal,6830
Mesen_MesonephricFibs_Fetal,Fetal,28521
Mesen_MullerianFib,Fetal,2471
Mesen_OvarianFibs_AdvLike,Adult,406
Mesen_OvarianFibs_AdvLike,paediatric,63
Mesen_OvarianFibs_AdvLike,pubertal,36
Mesen_OvarianFibs_AdvLike,postpubertal,2
Mesen_OvarianFibs_Fetal,Fetal,32133
Mesen_OvarianFibs_InncorMedulla,paediatric,49456
Mesen_OvarianFibs_InncorMedulla,Adult,43873
Mesen_OvarianFibs_InncorMedulla,pubertal,31240
Mesen_OvarianFibs_InncorMedulla,postpubertal,1416
Mesen_OvarianFibs_Medulla_SMCsLike,Adult,6806
Mesen_OvarianFibs_Medulla_SMCsLike,pubertal,4579
Mesen_OvarianFibs_Medulla_SMCsLike,paediatric,1687
Mesen_OvarianFibs_Medulla_SMCsLike,postpubertal,633
Mesen_OvarianFibs_Outcor,pubertal,13693
Mesen_OvarianFibs_Outcor,paediatric,4058
Mesen_OvarianFibs_Outcor,Adult,2780
Mesen_OvarianFibs_Outcor,postpubertal,903
Mesen_OvarianFibs_Perifol,paediatric,26907
Mesen_OvarianFibs_Perifol,pubertal,8398
Mesen_OvarianFibs_Perifol,Adult,7715
Mesen_OvarianFibs_Perifol,postpubertal,1391
Mesen_OvarianInclFibs,Adult,83
Mesen_OvarianInclFibs,postpubertal,12
Mesen_OvarianInclFibs,pubertal,1
Mesen_PV_Fetal,Fetal,28897
Mesen_Pericyte,Adult,32481
Mesen_Pericyte,paediatric,3886
Mesen_Pericyte,pubertal,2337
Mesen_Pericyte,postpubertal,200
Mesen_Pericyte_Cyc,Adult,4406
Mesen_Pericyte_Cyc,paediatric,108
Mesen_Pericyte_Cyc,pubertal,7
Mesen_Pericyte_Cyc,postpubertal,1
Mesen_Pericyte_EndoSpiralArt,Adult,6352
Mesen_Pericyte_EndoSpiralArt,paediatric,170
Mesen_Pericyte_EndoSpiralArt,pubertal,88
Mesen_Pericyte_EndoSpiralArt,postpubertal,7
Mesen_Pericyte_EndoStromalLike,Adult,10229
Mesen_Pericyte_EndoStromalLike_MenstrualFluid,Adult,1272
Mesen_Pericyte_SMCsIntr,Adult,8108
